index0	terrace	bedrooms	construction_year	date_month	date_year	date_year_month	floor	rooms	price_room	price_surface	price	scout_id	surface	url	zip
2	yes	3	1964	8	2017	2017_08	up floor	4	99750.0	NAN	399000	97902982	NAN	http://www.immobilienscout24.de/expose/97902982	85521
3	yes	NAN	1969	8	2017	2017_08	up floor	4	124750.0	6237.5	499000	97859375	80	http://www.immobilienscout24.de/expose/97859375	81671
4	yes	3	1971	8	2017	2017_08	up floor	4	117500.0	NAN	470000	97832884	NAN	http://www.immobilienscout24.de/expose/97832884	82110
5	yes	3	1987	8	2017	2017_08	up floor	4	99500.0	NAN	398000	97424278	NAN	http://www.immobilienscout24.de/expose/97424278	81739
6	yes	3	1967	8	2017	2017_08	up floor	4	124500.0	NAN	498000	97828547	NAN	http://www.immobilienscout24.de/expose/97828547	81477
7	yes	3	1990	8	2017	2017_08	up floor	4	104750.0	4410.526315789473	419000	93884123	95	http://www.immobilienscout24.de/expose/93884123	82256
0	yes	2	1990	8	2017	2017_08	up floor	4	121250.0	NAN	485000	98398284	NAN	http://www.immobilienscout24.de/expose/98398284	82008
1	yes	NAN	1972	8	2017	2017_08	up floor	4	105000.0	4941.176470588235	420000	98201731	85	http://www.immobilienscout24.de/expose/98201731	81247
2	yes	3	1969	8	2017	2017_08	ground floor	4	117495.0	4999.787234042553	469980	98200410	94	http://www.immobilienscout24.de/expose/98200410	81927
3	yes	NAN	1990	8	2017	2017_08	up floor	4	124750.0	5544.444444444444	499000	98192220	90	http://www.immobilienscout24.de/expose/98192220	81739
4	yes	NAN	1970	8	2017	2017_08	up floor	4	117250.0	NAN	469000	98177481	NAN	http://www.immobilienscout24.de/expose/98177481	82061
5	yes	3	1963	8	2017	2017_08	up floor	4	92250.0	NAN	369000	98097337	NAN	http://www.immobilienscout24.de/expose/98097337	81475
6	yes	3	2003	8	2017	2017_08	up floor	4	108750.0	NAN	435000	97799275	NAN	http://www.immobilienscout24.de/expose/97799275	81925
7	yes	3	1969	8	2017	2017_08	up floor	4	119750.0	NAN	479000	97705311	NAN	http://www.immobilienscout24.de/expose/97705311	80995
0	yes	4	2018	9	2017	2017_09	up floor	6	0.0	NAN	0	99263901	NAN	http://www.immobilienscout24.de/expose/99263901	81679
1	yes	3	1966	9	2017	2017_09	up floor	4	107500.0	NAN	430000	99168020	NAN	http://www.immobilienscout24.de/expose/99168020	81243
2	yes	3	1974	9	2017	2017_09	up floor	4	95000.0	4086.021505376344	380000	99142369	93	http://www.immobilienscout24.de/expose/99142369	85221
3	yes	NAN	1973	9	2017	2017_09	up floor	4	94725.0	4355.172413793103	378900	99110895	87	http://www.immobilienscout24.de/expose/99110895	81737
4	yes	NAN	1975	9	2017	2017_09	up floor	4	104750.0	4554.347826086957	419000	99070955	92	http://www.immobilienscout24.de/expose/99070955	85521
5	yes	3	1967	9	2017	2017_09	up floor	4	112250.0	NAN	449000	99006205	NAN	http://www.immobilienscout24.de/expose/99006205	81541
6	yes	NAN	2000	9	2017	2017_09	NAN	4	113750.0	5000.0	455000	98949683	91	http://www.immobilienscout24.de/expose/98949683	81827
7	yes	NAN	NAN	9	2017	2017_09	up floor	4	104750.0	5237.5	419000	98903078	80	http://www.immobilienscout24.de/expose/98903078	85521
8	yes	3	1995	9	2017	2017_09	up floor	4	124750.0	4752.380952380952	499000	96563358	105	http://www.immobilienscout24.de/expose/96563358	80999
9	yes	3	2000	9	2017	2017_09	up floor	4	123750.0	5439.56043956044	495000	98604775	91	http://www.immobilienscout24.de/expose/98604775	85540
10	yes	NAN	1956	9	2017	2017_09	up floor	7	64285.71428571428	3879.310344827586	450000	98531966	116	http://www.immobilienscout24.de/expose/98531966	85757
11	yes	3	2003	9	2017	2017_09	up floor	4	0.0	0.0	0	98059000	106	http://www.immobilienscout24.de/expose/98059000	81479
